ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE
10,20,200,5,2,100,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
10,20,200,7,1,10,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,7,1,100,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,7,2,10,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
10,20,200,7,2,100,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
10,20,200,10,1,10,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,10,1,100,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,10,2,10,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
10,20,200,10,2,100,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
10,20,200,12,1,10,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,12,1,100,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,12,2,10,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
10,20,200,12,2,100,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
