ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE,SCORE
75,200,50,2,1,10,1,42050.0,26.7741935483871,2935.39156626506,-888.0506607929516,310,3.3054325567913123,14,0.13948088564557592
75,200,50,1,1,10,1,41875.0,28.70967741935484,2689.044943820225,-893.4389140271493,310,3.0097692204825006,11,0.13890040633551703
50,100,150,2,2,10,1,41800.0,64.74820143884892,1614.0277777777778,-2111.4795918367345,139,0.7644060515753159,4,0.13865162948834894
50,100,150,1,2,10,1,41800.0,64.74820143884892,1614.0277777777778,-2111.4795918367345,139,0.7644060515753159,4,0.13865162948834894
75,400,10,1,2,10,1,41762.5,18.666666666666668,3208.928571428572,-394.15983606557376,150,8.141186081919122,14,0.1385272410647649
25,100,175,2,2,10,1,41737.5,67.15328467153284,1684.2391304347825,-2515.833333333333,137,0.6694557656580785,3,0.1384443154490422
25,100,175,1,2,10,1,41737.5,67.15328467153284,1684.2391304347825,-2515.833333333333,137,0.6694557656580785,3,0.1384443154490422
25,800,10,1,2,10,1,40937.5,13.86861313868613,4545.394736842105,-384.957627118644,137,11.807519624598092,24,0.1357906957459159
100,800,10,1,1,10,1,40875.0,15.492957746478872,3166.1363636363635,-444.2083333333333,355,7.127593352150148,32,0.13558338170660916
25,75,200,2,2,10,1,40862.5,75.91240875912408,1321.0336538461538,-2925.0,137,0.4516354372123602,2,0.1355419188987478
25,75,200,1,2,10,1,40862.5,75.91240875912408,1321.0336538461538,-2925.0,137,0.4516354372123602,2,0.1355419188987478
50,50,150,2,2,10,1,40762.5,77.6978417266187,991.4351851851852,-2139.1129032258063,139,0.4634795964673439,2,0.13521021643585704
50,50,150,1,2,10,1,40762.5,77.6978417266187,991.4351851851852,-2139.1129032258063,139,0.4634795964673439,2,0.13521021643585704
25,1600,10,1,2,10,1,40687.5,13.86861313868613,4532.236842105263,-384.957627118644,137,11.773339512788578,24,0.13496143958868895
25,6400,10,1,2,10,1,40687.5,13.86861313868613,4532.236842105263,-384.957627118644,137,11.773339512788578,24,0.13496143958868895
25,3200,10,1,2,10,1,40687.5,13.86861313868613,4532.236842105263,-384.957627118644,137,11.773339512788578,24,0.13496143958868895
25,12800,10,1,2,10,1,40687.5,13.86861313868613,4532.236842105263,-384.957627118644,137,11.773339512788578,24,0.13496143958868895
100,12800,10,1,1,10,1,40625.0,15.492957746478872,3161.590909090909,-444.2083333333333,355,7.117360643296297,32,0.1347541255493822
100,6400,10,1,1,10,1,40625.0,15.492957746478872,3161.590909090909,-444.2083333333333,355,7.117360643296297,32,0.1347541255493822
100,3200,10,1,1,10,1,40625.0,15.492957746478872,3161.590909090909,-444.2083333333333,355,7.117360643296297,32,0.1347541255493822
100,1600,10,1,1,10,1,40625.0,15.492957746478872,3161.590909090909,-444.2083333333333,355,7.117360643296297,32,0.1347541255493822
75,3200,200,1,2,10,1,40325.0,52.0,3112.980769230769,-2812.3263888888887,150,1.1069059343644194,7,0.13375901816070984
75,12800,200,1,2,10,1,40325.0,52.0,3112.980769230769,-2812.3263888888887,150,1.1069059343644194,7,0.13375901816070984
75,1600,200,1,2,10,1,40325.0,52.0,3112.980769230769,-2812.3263888888887,150,1.1069059343644194,7,0.13375901816070984
75,6400,200,1,2,10,1,40325.0,52.0,3112.980769230769,-2812.3263888888887,150,1.1069059343644194,7,0.13375901816070984
100,800,10,1,2,10,1,40237.5,13.548387096774196,4280.357142857143,-370.5223880597015,155,11.55222270176953,23,0.1334687785056804
75,800,200,2,2,10,1,40125.0,35.333333333333336,5965.801886792453,-2846.005154639175,150,2.096202066629361,8,0.13309561323492827
10,1600,175,2,2,10,1,40012.5,30.53435114503817,6780.625,-2540.796703296703,131,2.668700329783208,10,0.13272244796417612
50,50,175,2,2,10,1,40012.5,79.13669064748201,993.2954545454544,-2387.9310344827586,139,0.4159648834919593,2,0.13272244796417612
50,50,175,1,2,10,1,40012.5,79.13669064748201,993.2954545454544,-2387.9310344827586,139,0.4159648834919593,2,0.13272244796417612
100,1600,10,1,2,10,1,39987.5,13.548387096774196,4268.452380952381,-370.5223880597015,155,11.520093032177623,23,0.13263952234845344
100,3200,10,1,2,10,1,39987.5,13.548387096774196,4268.452380952381,-370.5223880597015,155,11.520093032177623,23,0.13263952234845344
100,6400,10,1,2,10,1,39987.5,13.548387096774196,4268.452380952381,-370.5223880597015,155,11.520093032177623,23,0.13263952234845344
100,12800,10,1,2,10,1,39987.5,13.548387096774196,4268.452380952381,-370.5223880597015,155,11.520093032177623,23,0.13263952234845344
75,800,25,2,2,10,1,39875.0,12.666666666666668,6348.026315789473,-616.3167938931298,150,10.299940515478198,25,0.1322663570777013
25,50,200,1,2,10,1,39137.5,81.02189781021897,1002.1396396396397,-2773.076923076923,137,0.3613818395371794,2,0.12982005141388175
25,50,200,2,2,10,1,39137.5,81.02189781021897,1002.1396396396397,-2773.076923076923,137,0.3613818395371794,2,0.12982005141388175
100,800,75,1,1,10,1,39062.5,35.2112676056338,2586.6,-1235.9239130434785,355,2.0928472802427334,11,0.12957127456671366
25,75,150,1,2,10,1,38975.0,70.07299270072993,1331.640625,-2167.378048780488,137,0.6144016387677591,2,0.12928103491168422
25,75,150,2,2,10,1,38975.0,70.07299270072993,1331.640625,-2167.378048780488,137,0.6144016387677591,2,0.12928103491168422
75,200,10,2,2,10,1,38862.5,18.666666666666668,3105.3571428571427,-394.15983606557376,150,7.878421033087006,14,0.1289078696409321
25,50,175,2,2,10,1,38700.0,78.83211678832117,999.6527777777778,-2388.362068965517,137,0.4185516052056388,2,0.12836885313873456
25,50,175,1,2,10,1,38700.0,78.83211678832117,999.6527777777778,-2388.362068965517,137,0.4185516052056388,2,0.12836885313873456
10,3200,175,2,2,10,1,38675.0,30.53435114503817,6747.1875,-2540.796703296703,131,2.65554008758177,10,0.12828592752301185
10,12800,175,2,2,10,1,38675.0,30.53435114503817,6747.1875,-2540.796703296703,131,2.65554008758177,10,0.12828592752301185
10,6400,175,2,2,10,1,38675.0,30.53435114503817,6747.1875,-2540.796703296703,131,2.65554008758177,10,0.12828592752301185
75,75,200,2,2,10,1,38425.0,74.66666666666667,1308.928571428571,-2846.7105263157896,150,0.4598038892006998,2,0.1274566713657849
75,75,200,1,2,10,1,38425.0,74.66666666666667,1308.928571428571,-2846.7105263157896,150,0.4598038892006998,2,0.1274566713657849
75,800,50,1,2,10,1,38350.0,26.0,3356.4102564102564,-833.7837837837837,150,4.025516352906953,10,0.1272078945186168
10,400,150,2,2,10,1,37412.5,32.82442748091603,5323.546511627907,-2176.1363636363635,131,2.446329467484365,10,0.12409818392901567
25,12800,200,1,2,10,1,37250.0,47.44525547445255,3760.3846153846152,-2877.430555555556,137,1.3068550370831051,8,0.12355916742681815
25,1600,200,1,2,10,1,37250.0,47.44525547445255,3760.3846153846152,-2877.430555555556,137,1.3068550370831051,8,0.12355916742681815
25,3200,200,1,2,10,1,37250.0,47.44525547445255,3760.3846153846152,-2877.430555555556,137,1.3068550370831051,8,0.12355916742681815
25,6400,200,1,2,10,1,37250.0,47.44525547445255,3760.3846153846152,-2877.430555555556,137,1.3068550370831051,8,0.12355916742681815
10,800,175,2,2,10,1,37062.5,30.53435114503817,6706.875,-2540.796703296703,131,2.6396740011893822,10,0.12293722530889792
25,800,150,1,2,10,1,36912.5,40.14598540145985,3920.681818181818,-2179.5731707317077,137,1.7988300970256488,11,0.12243967161456173
75,1600,150,2,5,10,1,36862.5,31.48148148148148,6833.823529411765,-2143.5810810810813,54,3.188040606313447,6,0.12227382038311635
75,200,10,1,2,10,1,36825.0,18.666666666666668,3032.589285714286,-394.15983606557376,150,7.693805934123064,14,0.1221494319595323
25,50,150,1,2,10,1,36725.0,76.64233576642336,1005.4761904761904,-2151.5625,137,0.4673237196113013,2,0.12181772949664152
25,50,150,2,2,10,1,36725.0,76.64233576642336,1005.4761904761904,-2151.5625,137,0.4673237196113013,2,0.12181772949664152
10,1600,200,2,2,10,1,36500.0,32.06106870229007,6861.9047619047615,-2828.089887640449,131,2.4263389901053785,10,0.12107139895513724
10,12800,200,2,2,10,1,36300.0,32.06106870229007,6857.142857142857,-2828.089887640449,131,2.424655201770816,10,0.12040799402935566
10,6400,200,2,2,10,1,36300.0,32.06106870229007,6857.142857142857,-2828.089887640449,131,2.424655201770816,10,0.12040799402935566
10,3200,200,2,2,10,1,36300.0,32.06106870229007,6857.142857142857,-2828.089887640449,131,2.424655201770816,10,0.12040799402935566
100,800,175,1,2,10,1,35775.0,49.67741935483871,2852.1103896103896,-2356.891025641026,155,1.2101155117405882,6,0.11866655609917903
75,200,25,2,1,10,1,35350.0,20.32258064516129,2977.18253968254,-616.244939271255,310,4.831167527644493,20,0.11725682063189319
10,100,150,1,2,10,1,35337.5,64.12213740458014,1630.5059523809523,-2162.234042553192,131,0.7540839336964797,3,0.11721535782403185
10,100,150,2,2,10,1,35337.5,64.12213740458014,1630.5059523809523,-2162.234042553192,131,0.7540839336964797,3,0.11721535782403185
25,800,25,2,2,10,1,35312.5,10.948905109489052,6970.0,-567.5204918032787,137,12.281494854666908,24,0.11713243220830914
75,12800,150,2,5,10,1,35237.5,31.48148148148148,6738.235294117647,-2143.5810810810813,54,3.143447828303898,6,0.11688365536114105
75,6400,150,2,5,10,1,35237.5,31.48148148148148,6738.235294117647,-2143.5810810810813,54,3.143447828303898,6,0.11688365536114105
75,3200,150,2,5,10,1,35237.5,31.48148148148148,6738.235294117647,-2143.5810810810813,54,3.143447828303898,6,0.11688365536114105
100,1600,175,2,1,10,1,34987.5,31.83098591549296,5569.358407079646,-2455.99173553719,355,2.2676617052465287,17,0.11605439920391408
25,800,50,2,2,10,1,34962.5,14.5985401459854,6844.375,-871.1538461538462,137,7.856677704194261,15,0.11597147358819139
100,800,25,1,1,10,1,34837.5,20.56338028169014,2930.821917808219,-635.1507092198582,355,4.614372424157542,19,0.11555684550957791
25,400,150,2,2,10,1,34750.0,32.11678832116788,5341.193181818182,-2153.360215053764,137,2.480399305457042,11,0.11526660585454847
75,12800,25,2,2,10,1,34725.0,12.666666666666668,6076.973684210527,-616.3167938931298,150,9.86014618524947,25,0.11518368023882578
75,6400,25,2,2,10,1,34725.0,12.666666666666668,6076.973684210527,-616.3167938931298,150,9.86014618524947,25,0.11518368023882578
75,3200,25,2,2,10,1,34725.0,12.666666666666668,6076.973684210527,-616.3167938931298,150,9.86014618524947,25,0.11518368023882578
75,1600,25,2,2,10,1,34725.0,12.666666666666668,6076.973684210527,-616.3167938931298,150,9.86014618524947,25,0.11518368023882578
25,75,175,2,2,10,1,34637.5,72.26277372262774,1323.358585858586,-2536.184210526316,137,0.5217911933865241,2,0.11489344058379633
25,75,175,1,2,10,1,34637.5,72.26277372262774,1323.358585858586,-2536.184210526316,137,0.5217911933865241,2,0.11489344058379633
