ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,SCORE
100,1600,100,1,2,100,1,46975.0,35.483870967741936,3452.5,-1429.125,155,2.415813872124552,0.15581723194294717
25,800,200,2,2,100,1,46837.5,33.57664233576642,6650.0,-2846.8406593406594,137,2.3359227985524726,0.15536114105647233
25,3200,175,2,2,100,1,46775.0,31.38686131386861,6566.569767441861,-2506.25,137,2.6200777126950068,0.1551538270171656
25,1600,10,2,2,100,1,46737.5,9.48905109489051,7266.346153846154,-384.8790322580645,137,18.879558367248254,0.15502943859358156
75,400,25,1,1,100,1,46675.0,21.61290322580645,2937.126865671642,-617.7469135802469,310,4.754579587697287,0.15482212455427483
10,1600,150,2,2,100,1,46675.0,28.24427480916031,6748.648648648648,-2159.840425531915,131,3.124605211047767,0.15482212455427483
75,800,25,2,2,100,1,46500.0,12.666666666666668,6696.710526315789,-616.3167938931298,150,10.865695357762728,0.15424164524421594
75,400,50,1,1,100,1,46475.0,28.064516129032256,2817.385057471264,-890.7511210762332,310,3.1629318120500507,0.15415871962849323
50,1600,175,1,2,100,1,46362.5,46.043165467625904,3702.5390625,-2541.333333333333,139,1.456927752820042,0.1537855543577411
25,1600,10,1,2,100,1,46162.5,13.86861313868613,4820.394736842105,-384.957627118644,137,12.521883961417029,0.15312214943195954
100,800,75,2,1,100,1,46000.0,20.84507042253521,5339.527027027027,-1242.4377224199288,355,4.297621466794399,0.152583132929762
50,100,200,1,2,100,1,45975.0,70.50359712230215,1639.158163265306,-2796.6463414634145,139,0.5861156410672849,0.1525002073140393
50,100,200,2,2,100,1,45975.0,70.50359712230215,1639.158163265306,-2796.6463414634145,139,0.5861156410672849,0.1525002073140393
100,1600,10,2,1,100,1,45412.5,7.887323943661972,6918.75,-453.5550458715596,355,15.25448798988622,0.15063438096027862
50,75,200,1,2,100,1,45312.5,75.53956834532374,1334.1666666666667,-2787.5,139,0.4786248131539611,0.15030267849738785
50,75,200,2,2,100,1,45312.5,75.53956834532374,1334.1666666666667,-2787.5,139,0.4786248131539611,0.15030267849738785
25,100,200,2,2,100,1,45125.0,70.07299270072993,1701.4322916666667,-2883.231707317073,137,0.5901129234077052,0.1496807363794676
25,100,200,1,2,100,1,45125.0,70.07299270072993,1701.4322916666667,-2883.231707317073,137,0.5901129234077052,0.1496807363794676
100,400,100,2,1,100,1,45112.5,24.507042253521128,5257.327586206897,-1538.339552238806,355,3.4175339108688334,0.14963927357160628
50,1600,10,1,1,100,1,45112.5,13.186813186813188,4022.222222222222,-420.6223628691983,273,9.562549634273772,0.14963927357160628
75,800,200,2,2,100,1,44800.0,35.333333333333336,6054.009433962264,-2846.005154639175,150,2.1271955267171005,0.14860270337507256
100,800,175,1,2,100,1,44612.5,49.67741935483871,2966.883116883117,-2356.891025641026,155,1.2588121744305871,0.14798076125715234
75,1600,75,1,2,100,1,44212.5,30.0,3675.555555555556,-1154.1666666666667,150,3.1845968712394703,0.14665395140558918
25,800,200,1,2,100,1,43612.5,47.44525547445255,3858.269230769231,-2877.430555555556,137,1.340873100593144,0.14466373662824447
100,1600,150,2,1,100,1,43337.5,28.732394366197184,5785.906862745098,-2161.3636363636365,355,2.676970577926228,0.1437515548552948
100,1600,125,2,1,100,1,43312.5,26.197183098591548,5710.618279569892,-1861.7366412213744,355,3.06736095381541,0.1436686292395721
75,800,50,1,2,100,1,43200.0,26.0,3480.769230769231,-833.7837837837837,150,4.174666500436355,0.14329546396881998
25,100,150,1,2,100,1,42762.5,64.23357664233576,1677.1306818181818,-2139.285714285714,137,0.7839675975110032,0.14184426569367278
25,100,150,2,2,100,1,42762.5,64.23357664233576,1677.1306818181818,-2139.285714285714,137,0.7839675975110032,0.14184426569367278
75,400,10,2,2,100,1,42712.5,12.0,5532.638888888889,-430.8712121212121,150,12.84058608058608,0.14167841446222737
50,50,200,1,2,100,1,42650.0,81.29496402877699,986.7256637168142,-2648.076923076923,139,0.3726197132409175,0.14147110042292063
50,50,200,2,2,100,1,42650.0,81.29496402877699,986.7256637168142,-2648.076923076923,139,0.3726197132409175,0.14147110042292063
75,200,25,1,1,100,1,42562.5,22.258064516129032,2775.18115942029,-617.9460580912863,310,4.490976393622897,0.14118086076789121
10,1600,150,1,2,100,1,42487.5,38.93129770992366,4287.009803921569,-2201.875,131,1.946981460764834,0.14093208392072312
50,75,150,2,2,100,1,42475.0,70.50359712230215,1324.6173469387754,-2130.182926829268,139,0.6218326746757097,0.14089062111286177
50,75,150,1,2,100,1,42475.0,70.50359712230215,1324.6173469387754,-2130.182926829268,139,0.6218326746757097,0.14089062111286177
75,200,50,2,1,100,1,42050.0,26.7741935483871,2935.39156626506,-888.0506607929516,310,3.3054325567913123,0.13948088564557592
75,200,50,1,1,100,1,41875.0,28.70967741935484,2689.044943820225,-893.4389140271493,310,3.0097692204825006,0.13890040633551703
100,800,100,2,1,100,1,41812.5,24.225352112676056,5301.889534883721,-1539.5910780669144,355,3.443699830698349,0.1386930922962103
50,100,150,1,2,100,1,41800.0,64.74820143884892,1614.0277777777778,-2111.4795918367345,139,0.7644060515753159,0.13865162948834894
50,100,150,2,2,100,1,41800.0,64.74820143884892,1614.0277777777778,-2111.4795918367345,139,0.7644060515753159,0.13865162948834894
25,100,175,2,2,100,1,41737.5,67.15328467153284,1684.2391304347825,-2515.833333333333,137,0.6694557656580785,0.1384443154490422
25,100,175,1,2,100,1,41737.5,67.15328467153284,1684.2391304347825,-2515.833333333333,137,0.6694557656580785,0.1384443154490422
100,1600,200,2,2,100,1,41712.5,33.5483870967742,6262.9807692307695,-2756.9174757281558,155,2.2717331310675504,0.13836138983331953
75,800,50,1,1,100,1,41187.5,28.064516129032256,2756.609195402299,-890.7511210762332,310,3.094701909632938,0.13661995190314288
10,1600,125,1,2,100,1,41037.5,33.587786259541986,4509.659090909091,-1809.051724137931,131,2.4928303766759807,0.1361223982088067
25,3200,200,2,2,100,1,41037.5,33.57664233576642,6523.913043478261,-2846.8406593406594,137,2.29163266376462,0.1361223982088067
25,75,200,2,2,100,1,40862.5,75.91240875912408,1321.0336538461538,-2925.0,137,0.4516354372123602,0.1355419188987478
25,75,200,1,2,100,1,40862.5,75.91240875912408,1321.0336538461538,-2925.0,137,0.4516354372123602,0.1355419188987478
50,50,150,1,2,100,1,40762.5,77.6978417266187,991.4351851851852,-2139.1129032258063,139,0.4634795964673439,0.13521021643585704
50,50,150,2,2,100,1,40762.5,77.6978417266187,991.4351851851852,-2139.1129032258063,139,0.4634795964673439,0.13521021643585704
10,3200,175,2,2,100,1,40612.5,30.53435114503817,6795.625,-2540.796703296703,131,2.6746039898361897,0.13471266274152086
75,400,10,1,2,100,1,40462.5,18.666666666666668,3162.5,-394.15983606557376,150,8.023394853132311,0.13421510904718467
50,50,175,1,2,100,1,40012.5,79.13669064748201,993.2954545454544,-2387.9310344827586,139,0.4159648834919593,0.13272244796417612
50,50,175,2,2,100,1,40012.5,79.13669064748201,993.2954545454544,-2387.9310344827586,139,0.4159648834919593,0.13272244796417612
25,1600,125,2,2,100,1,40012.5,23.35766423357664,7214.84375,-1817.7380952380952,137,3.969132719889973,0.13272244796417612
75,1600,150,1,2,100,1,39912.5,42.66666666666667,3468.1640625,-2116.860465116279,150,1.6383527018676187,0.13239074550128535
25,800,25,2,2,100,1,39450.0,10.948905109489052,7245.833333333333,-567.5204918032787,137,12.767527231148824,0.13085662161041545
25,50,200,2,2,100,1,39137.5,81.02189781021897,1002.1396396396397,-2773.076923076923,137,0.3613818395371794,0.12982005141388175
25,50,200,1,2,100,1,39137.5,81.02189781021897,1002.1396396396397,-2773.076923076923,137,0.3613818395371794,0.12982005141388175
25,800,50,2,2,100,1,38975.0,14.5985401459854,7045.0,-871.1538461538462,137,8.086975717439293,0.12928103491168422
25,75,150,1,2,100,1,38975.0,70.07299270072993,1331.640625,-2167.378048780488,137,0.6144016387677591,0.12928103491168422
25,75,150,2,2,100,1,38975.0,70.07299270072993,1331.640625,-2167.378048780488,137,0.6144016387677591,0.12928103491168422
75,200,10,2,2,100,1,38862.5,18.666666666666668,3105.3571428571427,-394.15983606557376,150,7.878421033087006,0.1289078696409321
25,50,175,2,2,100,1,38700.0,78.83211678832117,999.6527777777778,-2388.362068965517,137,0.4185516052056388,0.12836885313873456
25,50,175,1,2,100,1,38700.0,78.83211678832117,999.6527777777778,-2388.362068965517,137,0.4185516052056388,0.12836885313873456
100,800,75,1,2,100,1,38512.5,33.5483870967742,3062.980769230769,-1172.4514563106795,155,2.6124584968907505,0.12774691102081434
75,75,200,2,2,100,1,38425.0,74.66666666666667,1308.928571428571,-2846.7105263157896,150,0.4598038892006998,0.1274566713657849
75,75,200,1,2,100,1,38425.0,74.66666666666667,1308.928571428571,-2846.7105263157896,150,0.4598038892006998,0.1274566713657849
75,1600,175,2,2,100,1,38387.5,31.333333333333336,6387.765957446809,-2542.1116504854367,150,2.512779466718944,0.12733228294220084
10,1600,200,1,2,100,1,38287.5,45.038167938931295,4118.220338983051,-2842.8819444444443,131,1.4486075818346489,0.12700058047931007
100,1600,50,2,2,100,1,38225.0,14.838709677419354,6891.304347826087,-911.1742424242424,155,7.563102672317967,0.12679326644000333
25,800,150,1,2,100,1,38212.5,40.14598540145985,3944.318181818182,-2179.5731707317077,137,1.809674588944417,0.12675180363214197
100,1600,25,2,2,100,1,38025.0,10.32258064516129,7862.5,-631.4748201438849,155,12.451011107946451,0.12612986151422173
