ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE
10,15,100,10,2,10,1,12034.969100000191,86.57407407407408,282.17543074866427,-1404.5460844827608,216,0.20090151107614132,3
10,25,50,10,1,10,1,8853.578199999989,65.77669902912622,409.22742214022236,-723.7379659574485,412,0.5654358917026643,5
10,25,50,10,2,10,1,8005.17455000022,67.5925925925926,415.96213938356493,-753.2185400000037,216,0.5522462835069923,3
10,25,75,10,1,10,1,7994.212449999919,73.30097087378641,406.89460198675533,-1044.4359759090928,412,0.3895830968792397,5
10,25,75,10,2,10,1,7576.902100000258,74.53703703703704,412.2113425465865,-1068.893164545458,216,0.38564316455506337,3
10,25,100,10,1,10,1,20398.976200000012,79.85436893203884,405.6845341945293,-1362.3040427710857,412,0.29779294596331046,5
10,25,100,10,2,10,1,15140.202000000263,81.01851851851852,410.41966885714476,-1382.5180500000015,216,0.29686387737009606,3
10,35,50,10,1,10,1,-1442.5220499998431,57.76699029126213,525.8993773109258,-727.6239876436794,412,0.7227625617648837,6
10,35,50,10,2,10,1,3631.8464000002004,60.18518518518518,525.0868411538485,-751.5051505813968,216,0.698713562704951,6
10,35,75,10,1,10,1,835.0681500000301,66.74757281553399,525.1321747272741,-1048.0020430656953,412,0.5010793425470026,5
10,35,75,10,2,10,1,4847.341350000168,68.51851851851852,524.754891554056,-1070.8291558823546,216,0.4900453902206858,5
10,35,100,10,1,10,1,17615.29690000011,74.51456310679612,529.1631462540721,-1379.407514285715,412,0.3836162560909953,5
10,35,100,10,2,10,1,12823.225950000138,75.92592592592592,529.3393719512208,-1422.8544432692322,216,0.37202636886383134,4
25,10,50,10,1,10,1,2298.5805500001097,77.72727272727272,221.81325745613955,-750.6280969387722,440,0.29550353678571745,5
