ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,SCORE
75,12800,125,1,2,100,1,312400.0,48.67256637168141,7818.181818181818,-2027.586206896552,113,3.855905998763142,1.0362384940708185
25,12800,175,1,1,100,1,312287.5,49.30232558139535,5617.452830188679,-2597.821100917431,215,2.1623709300863148,1.0358653288000663
50,12800,200,1,2,100,1,310825.0,55.23809523809524,7815.948275862069,-3031.9148936170213,105,2.577891712038717,1.0310141802802886
75,12800,10,1,1,100,1,308025.0,15.789473684210526,9644.34523809524,-433.203125,266,22.262870883249605,1.0217265113193466
25,12800,10,1,1,100,1,307900.0,15.0,12229.166666666666,-511.56417112299465,220,23.905440132409947,1.021311883240733
75,12800,75,1,2,100,1,306850.0,38.05309734513274,9409.302325581397,-1396.428571428571,113,6.7381193124368055,1.0178290073803797
25,12800,25,1,1,100,1,304337.5,18.72146118721461,10325.0,-668.4691011235955,219,15.44574009874987,1.0094949830002489
50,12800,10,1,1,100,1,303587.5,13.445378151260504,12337.109375,-442.71844660194176,238,27.86671635142544,1.0070072145285678
25,12800,200,1,1,100,1,299750.0,50.697674418604656,5538.417431192661,-2867.334905660377,215,1.931555822188516,0.994278132515134
75,12800,50,1,2,100,1,299687.5,28.31858407079646,11949.609375,-1020.9876543209876,113,11.703970488210398,0.9940708184758272
75,3200,50,1,1,100,1,298062.5,25.842696629213485,7025.54347826087,-942.929292929293,267,7.450763838755502,0.9886806534538519
25,12800,50,1,1,100,1,296912.5,24.770642201834864,8436.342592592593,-967.3780487804878,218,8.720833187426317,0.9848660751306079
50,6400,50,1,1,100,1,296212.5,26.89075630252101,7253.7109375,-965.66091954023,238,7.511654236720726,0.9825441578903723
