ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK
10,10,150,2,1,10,1,-4275.0,40.55944055944056,460.12931034482756,-327.6470588235294,858,1.4043443942301739
10,10,150,2,2,10,1,-9750.0,40.66193853427896,456.5406976744186,-332.8685258964143,846,1.3715345914575592
10,10,150,2,5,10,1,-10675.0,40.45226130653266,457.14285714285717,-332.4367088607595,796,1.3751274903107364
10,10,150,2,10,10,1,-8100.0,41.29793510324484,446.69642857142856,-350.81658291457285,678,1.2733047704310014
10,10,175,1,1,10,1,5587.5,41.95804195804196,454.30555555555554,-320.9839357429719,858,1.4153529350432696
10,10,175,1,2,10,1,112.5,42.08037825059102,450.77247191011236,-326.2244897959184,846,1.381786119711949
10,10,175,1,5,10,1,-2900.0,41.959798994974875,450.97305389221555,-325.3787878787879,796,1.3859940189469722
10,10,175,1,10,10,1,-3625.0,42.772861356932154,442.2413793103448,-344.13659793814435,678,1.285075118310532
10,10,175,2,1,10,1,5587.5,41.95804195804196,454.30555555555554,-320.9839357429719,858,1.4153529350432696
10,10,175,2,2,10,1,112.5,42.08037825059102,450.77247191011236,-326.2244897959184,846,1.381786119711949
10,10,175,2,5,10,1,-2900.0,41.959798994974875,450.97305389221555,-325.3787878787879,796,1.3859940189469722
10,10,175,2,10,10,1,-3625.0,42.772861356932154,442.2413793103448,-344.13659793814435,678,1.285075118310532
10,10,200,1,1,10,1,-1300.0,42.65734265734265,457.10382513661204,-333.6382113821138,858,1.3700583732391907
10,10,200,1,2,10,1,-6775.0,42.78959810874704,453.66022099447514,-339.1528925619835,846,1.3376274563589763
10,10,200,1,5,10,1,-9012.5,42.71356783919598,454.04411764705884,-335.6907894736842,796,1.3525665043087298
10,10,200,1,10,10,1,-8925.0,43.657817109144545,445.94594594594594,-353.0104712041885,678,1.2632654901842888
10,10,200,2,1,10,1,-1300.0,42.65734265734265,457.10382513661204,-333.6382113821138,858,1.3700583732391907
10,10,200,2,2,10,1,-6775.0,42.78959810874704,453.66022099447514,-339.1528925619835,846,1.3376274563589763
10,10,200,2,5,10,1,-9012.5,42.71356783919598,454.04411764705884,-335.6907894736842,796,1.3525665043087298
10,10,200,2,10,10,1,-8925.0,43.657817109144545,445.94594594594594,-353.0104712041885,678,1.2632654901842888
10,25,10,1,1,10,1,6662.5,23.076923076923077,654.1666666666666,-204.62121212121212,858,3.1969640873750462
10,25,10,1,2,10,1,4475.0,22.93144208037825,651.8041237113403,-207.1319018404908,846,3.1468070245079143
10,25,10,1,5,10,1,6525.0,22.613065326633166,651.1111111111111,-206.12824675324674,796,3.15876703638074
10,25,10,1,10,10,1,8062.5,23.893805309734514,640.2777777777778,-215.06782945736435,678,2.9770969437561012
